method,parameter,scenario,minimum,p25,median,mean,p75,p90,p95,maximum,variance,low,medium,high,critical,staticSpearmanCorrelation,changedFromBaselineOdPaths
logit_shift,0.75,Q2,0.0073413204003454306,0.0760802286372662,0.12248940908354981,0.1418728680700539,0.17515413488697773,0.24286943714059006,0.3382540272218298,0.7137585382392905,0.010570696039642126,1283,98,32,0,1.0,5
logit_shift,0.75,Q3,0.008415894974106665,0.0863412046784288,0.13807420934433412,0.15784517806415482,0.19594343280185386,0.2690741213353833,0.3697235476820322,0.7410427957250884,0.012040400837506815,1234,142,37,0,1.0,5
logit_shift,0.75,Q4,0.008965409775952693,0.09150928047105067,0.14584454463580646,0.16570520809422754,0.20619137811250404,0.281806327995753,0.38471107139594896,0.7530975659298541,0.012754586436315081,1211,162,39,1,1.0,5
logit_shift,1.0,Q1,0.0060499058980685,0.06347007524897415,0.10304493837436497,0.12150846683439227,0.14876677990297296,0.20886379747514194,0.29611771886595856,0.6723719861468901,0.008674596712748348,1321,71,21,0,1.0,5
logit_shift,1.0,Q2,0.008234153116353718,0.08462026794964833,0.13547503380043216,0.15520114676778224,0.19249819087463305,0.2647664490069945,0.3646085166786677,0.7367958021050338,0.011798679613515722,1246,130,37,0,1.0,5
logit_shift,1.0,Q3,0.009877057955935882,0.09996773888791781,0.1584494159395522,0.17832197301126246,0.22265228762094763,0.3020071756756742,0.40809603737579603,0.7708227498172328,0.01388536328617529,1168,202,42,1,1.0,5
logit_shift,1.0,Q4,0.010744700269383596,0.10788699657492976,0.17012578065237924,0.18987300689964054,0.237723372013857,0.32023687436850456,0.42879468545166194,0.7855044878206908,0.014901233948129654,1116,253,41,3,1.0,5
logit_shift,1.5,Q1,0.006525279187853504,0.06814791489239277,0.11029599911187873,0.12916374485116625,0.15866606213151102,0.22172045385046985,0.31222510208749665,0.6889151223723301,0.009388953313977178,1306,83,24,0,1.0,5
logit_shift,1.5,Q2,0.0103552414661612,0.1043478678564397,0.1649224089372925,0.18474094945105543,0.23102806863429917,0.3121693431641902,0.41968113576883403,0.7791507017938003,0.014452338191546997,1144,225,42,2,1.0,5
logit_shift,1.5,Q3,0.013593455789718234,0.1330278029470981,0.20641427171080726,0.22504473515124965,0.28350487552673087,0.3741102264782784,0.48782238426407226,0.8228966356354188,0.0178577621032447,923,425,58,7,1.0,10
