segment_id,event_id,event_start,region_id,highway,log_length_meters,oneway,sinuosity,bearing_sin,bearing_cos,vertex_count,prior_exposure_count,prior_exposure_frequency,prior_observed_events,years_since_prior_positive,target,split
osm-gaul2-73705-1565471715-6133925854-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.525433484721181,0.0,1.0018453539835668,-0.6344163853973753,0.7729914940924829,29.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1565471715-6347062870-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,5.80190385085775,0.0,1.0001115161964231,0.8491320878296033,0.5281805538053621,4.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2006027813-6133925865-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,5.807815109069834,1.0,1.0002265943925555,-0.8377216760212165,-0.5460974212759149,4.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2222640088-7729883321-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,2.231089091288976,1.0,1.0,0.9695562955237587,-0.24486851535108803,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2237426191-2237426219-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary_link,4.081968291154046,1.0,1.0172989116636768,0.6477400459761394,0.7618614262704397,5.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2237426191-3066425713-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,6.841474440891516,0.0,1.0024051413838695,-0.9901670040303467,-0.13989032893508868,16.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2237426191-6349968687-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,1.7341303563914185,0.0,1.0,0.987158828551197,0.1597418142298015,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2237426193-7695312703-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary_link,4.000235327660936,1.0,1.040581057844166,-0.7406684367278769,-0.6718707218171389,5.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2237426219-544527335-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,3.601495280371504,0.0,1.0,0.08039603415929748,-0.9967629997604531,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2237426219-6349968686-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,1.8237425150811057,0.0,1.0,-0.027695514572624178,0.9996164056639715,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2339746491-7205253744-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,3.843615676763246,0.0,1.0,0.025674137300800502,-0.9996703650073157,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2339746491-7694086143-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,4.760180496227232,1.0,1.0041625894807975,-0.05193566280148804,0.9986504327988699,4.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2514023421-13133830380-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.081209301820052,0.0,1.0610992473331886,0.572645378134908,0.8198031903455415,63.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2514023421-2514040051-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.829348726575319,0.0,1.1217284483757053,-0.9781127829405324,-0.20807542826659486,133.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2514023421-3089905465-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,6.545546480044609,0.0,1.0295741592902403,-0.056619120564920154,-0.998395850946134,32.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2514040051-2514023421-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.829348726575319,0.0,1.121728448375706,0.9781127829405324,0.20807542826659498,133.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2514040051-7577428625-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,7.2484016489178265,0.0,1.00024516594267,0.8049058765130908,-0.5934025024843534,28.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2515306847-6145923129-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.463968173754429,1.0,1.0005467239520187,-0.7146265852392581,-0.6995061426958861,10.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2595266961-3092169277-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.204057094477325,0.0,1.0700876404997532,-0.2781122794308129,0.9605485724469104,47.0,0.0,0.0,0.0,99.0,1,train
